station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-08 03:52:00,13.3,111.6,16.1,Clear
KATL,2025-03-08 04:52:00,13.3,183.6,16.1,Clear
KATL,2025-03-08 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-08 05:52:00,13.9,223.2,16.1,Clear
KATL,2025-03-08 06:00:00,13.9,223.2,16.0,Clear
KATL,2025-03-08 06:52:00,14.4,205.2,16.1,Clear
KATL,2025-03-08 07:52:00,13.9,241.2,16.1,Clear
KATL,2025-03-08 08:52:00,13.9,205.2,16.1,Clear
KATL,2025-03-08 09:00:00,13.9,205.2,16.0,Clear
KATL,2025-03-08 09:52:00,13.9,205.2,16.1,Clear
KATL,2025-03-08 10:45:00,14.4,147.6,16.1,Clear
KATL,2025-03-08 10:52:00,14.4,223.2,16.1,Clear
KATL,2025-03-08 11:13:00,13.9,147.6,16.1,Clear
KATL,2025-03-08 11:30:00,13.9,165.6,16.1,Clear
KATL,2025-03-08 11:52:00,14.4,147.6,16.1,Clear
KATL,2025-03-08 12:00:00,14.4,147.6,16.0,Clear
KATL,2025-03-08 12:12:00,14.4,147.6,16.1,Clear
KATL,2025-03-08 12:22:00,14.4,147.6,16.1,Clear
KATL,2025-03-08 12:52:00,15.0,111.6,16.1,Clear
KATL,2025-03-08 13:52:00,17.8,165.6,16.1,Clear
KATL,2025-03-08 14:52:00,19.4,147.6,16.1,Clear
KATL,2025-03-08 15:00:00,19.4,147.6,16.0,Clear
KATL,2025-03-08 15:52:00,21.1,259.2,16.1,Clear
KATL,2025-03-08 16:52:00,22.2,223.2,16.1,Clear
KATL,2025-03-08 17:52:00,22.8,259.2,16.1,Clear
KATL,2025-03-08 18:00:00,22.8,259.2,16.0,Clear
KATL,2025-03-08 18:52:00,23.3,295.2,16.1,Clear
KATL,2025-03-08 19:52:00,23.9,241.2,16.1,Clear
KATL,2025-03-08 20:52:00,22.2,295.2,16.1,Clear
KATL,2025-03-08 21:00:00,22.2,295.2,16.0,Clear
KATL,2025-03-08 21:52:00,21.7,277.2,16.1,Clear
